V2	Second Largest Eigenvalue: Normalized Laplacian 	Largest Eigenvalue: Weighted Graph
550	1.59	321.00
555	1.58	324.00
560	1.58	327.00
565	1.58	329.00
570	1.58	331.00
575	1.58	333.00
580	1.57	335.00
585	1.57	337.00
590	1.57	339.00
595	1.57	341.00
600	1.56	342.00
605	1.56	344.00
610	1.56	345.00
615	1.56	346.00
620	1.56	348.00
625	1.55	349.00
630	1.55	350.00
635	1.55	351.00
640	1.55	352.00
645	1.55	353.00
650	1.54	354.00
655	1.54	355.00
660	1.54	356.00
665	1.54	357.00
670	1.54	358.00
675	1.53	359.00
680	1.53	360.00
685	1.53	360.00
690	1.53	361.00
695	1.53	362.00
700	1.53	363.00
705	1.52	363.00
710	1.52	364.00
715	1.52	365.00
720	1.52	365.00
725	1.52	366.00
730	1.52	366.00
735	1.51	367.00
740	1.51	368.00
745	1.51	368.00
750	1.51	369.00
755	1.51	369.00
760	1.51	370.00
765	1.50	370.00
770	1.50	371.00
775	1.50	371.00
780	1.50	372.00
785	1.50	372.00
790	1.50	372.00
795	1.50	373.00
800	1.49	373.00
805	1.49	374.00
810	1.49	374.00
815	1.49	374.00
820	1.49	375.00
825	1.49	375.00
830	1.49	376.00
835	1.48	376.00
840	1.48	376.00
845	1.48	377.00
850	1.48	377.00
855	1.48	377.00
860	1.48	378.00
865	1.48	378.00
870	1.47	378.00
875	1.47	379.00
880	1.47	379.00
885	1.47	379.00
890	1.47	380.00
895	1.47	380.00
900	1.47	380.00
905	1.47	380.00
910	1.46	381.00
915	1.46	381.00
920	1.46	381.00
925	1.46	381.00
930	1.46	382.00
935	1.46	382.00
940	1.46	382.00
945	1.46	382.00
950	1.46	383.00
955	1.45	383.00
960	1.45	383.00
965	1.45	383.00
970	1.45	384.00
975	1.45	384.00
980	1.45	384.00
985	1.45	384.00
990	1.45	385.00
995	1.45	385.00
1000	1.44	385.00
1010	1.44	385.00
1010	1.44	385.00
1020	1.44	386.00
1020	1.44	386.00
1030	1.44	386.00
1030	1.44	386.00
1040	1.44	386.00
1040	1.44	387.00
1050	1.44	387.00
1050	1.43	387.00
1060	1.43	387.00
1060	1.43	387.00
1070	1.43	387.00
1070	1.43	388.00
1080	1.43	388.00
1080	1.43	388.00
1090	1.43	388.00
1090	1.43	388.00
1100	1.43	388.00
1100	1.42	389.00
1110	1.42	389.00
1110	1.42	389.00
1120	1.42	389.00
1120	1.42	389.00
1130	1.42	389.00
1130	1.42	390.00
1140	1.42	390.00
1140	1.42	390.00
1150	1.42	390.00
1150	1.42	390.00
1160	1.42	390.00
1160	1.41	390.00
1170	1.41	391.00
1170	1.41	391.00
1180	1.41	391.00
1180	1.41	391.00
1190	1.41	391.00
1190	1.41	391.00
1200	1.41	391.00
1200	1.41	392.00
1210	1.41	392.00
1210	1.41	392.00
1220	1.41	392.00
1220	1.40	392.00
1230	1.40	392.00
1230	1.40	392.00
1240	1.40	392.00
1240	1.40	393.00
1250	1.40	393.00
1250	1.40	393.00
1260	1.40	393.00
1260	1.40	393.00
1270	1.40	393.00
1270	1.40	393.00
1280	1.40	393.00
1280	1.40	393.00
1290	1.39	394.00
1290	1.39	394.00
1300	1.39	394.00
1300	1.39	394.00
1310	1.39	394.00
1310	1.39	394.00
1320	1.39	394.00
1320	1.39	394.00
1330	1.39	394.00
1330	1.39	394.00
1340	1.39	395.00
1340	1.39	395.00
1350	1.39	395.00
1350	1.39	395.00
1360	1.38	395.00
1360	1.38	395.00
1370	1.38	395.00
1370	1.38	395.00
1380	1.38	395.00
1380	1.38	395.00
1390	1.38	396.00
1390	1.38	396.00
1400	1.38	396.00
1400	1.38	396.00
1410	1.38	396.00
1410	1.38	396.00
1420	1.38	396.00
1420	1.38	396.00
1430	1.38	396.00
1430	1.37	396.00
1440	1.37	396.00
1440	1.37	396.00
1450	1.37	397.00
1450	1.37	397.00
1460	1.37	397.00
1460	1.37	397.00
1470	1.37	397.00
1470	1.37	397.00
1480	1.37	397.00
1480	1.37	397.00
1490	1.37	397.00
1490	1.37	397.00
1500	1.37	397.00
1500	1.37	397.00
1510	1.37	398.00
1510	1.37	398.00
1520	1.36	398.00
1520	1.36	398.00
1530	1.36	398.00
1530	1.36	398.00
1540	1.36	398.00
1540	1.36	398.00
1550	1.36	398.00
1550	1.36	398.00
1560	1.36	398.00
1560	1.36	398.00
1570	1.36	398.00
1570	1.36	398.00
1580	1.36	399.00
1580	1.36	399.00
1590	1.36	399.00
1590	1.36	399.00
1600	1.36	399.00
1600	1.36	399.00
1610	1.35	399.00
1610	1.35	399.00
1620	1.35	399.00
1620	1.35	399.00
1630	1.35	399.00
1630	1.35	399.00
1640	1.35	399.00
1640	1.35	399.00
1650	1.35	399.00
1650	1.35	399.00
1660	1.35	400.00
1660	1.35	400.00
1670	1.35	400.00
1670	1.35	400.00
1680	1.35	400.00
1680	1.35	400.00
1690	1.35	400.00
1690	1.35	400.00
1700	1.35	400.00
1700	1.34	400.00
1710	1.34	400.00
1710	1.34	400.00
1720	1.34	400.00
1720	1.34	400.00
1730	1.34	400.00
1730	1.34	400.00
1740	1.34	400.00
1740	1.34	401.00
1750	1.34	401.00
1750	1.34	401.00
1760	1.34	401.00
1760	1.34	401.00
1770	1.34	401.00
1770	1.34	401.00
1780	1.34	401.00
1780	1.34	401.00
1790	1.34	401.00
1790	1.34	401.00
1800	1.34	401.00
1800	1.34	401.00
1810	1.34	401.00
1810	1.33	401.00
1820	1.33	401.00
1820	1.33	401.00
1830	1.33	401.00
1830	1.33	401.00
1840	1.33	401.00
1840	1.33	402.00
1850	1.33	402.00
1850	1.33	402.00
1860	1.33	402.00
1860	1.33	402.00
1870	1.33	402.00
1870	1.33	402.00
1880	1.33	402.00
1880	1.33	402.00
1890	1.33	402.00
1890	1.33	402.00
1900	1.33	402.00
1900	1.33	402.00
1910	1.33	402.00
1910	1.33	402.00
1920	1.33	402.00
1920	1.33	402.00
1930	1.32	402.00
1930	1.32	402.00
1940	1.32	402.00
1940	1.32	402.00
1950	1.32	402.00
1950	1.32	403.00
1960	1.32	403.00
1960	1.32	403.00
1970	1.32	403.00
1970	1.32	403.00
1980	1.32	403.00
1980	1.32	403.00
1990	1.32	403.00
1990	1.32	403.00
2000	1.32	403.00
2000	1.32	403.00
